data_layer,symbol,prototype,gate,leverage_mode,h3_trade_count,h4_trade_count,h3_profit_factor,h4_profit_factor,h3_max_drawdown,h4_max_drawdown,h3_liquidation_count,h4_liquidation_count,h3_stress_liquidation_cases,h4_stress_liquidation_cases,risk_retention_status
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_4x_10x_v1,,119,,1.8798707784595363,,-0.26518269908126313,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_5x_12x_v1,,119,,1.8830509049129787,,-0.2780231407169581,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_10x,,131,,1.53313906714488,,-0.6222009945845886,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,fixed_20x,,131,,1.1700707431255082,,-0.9554397677502906,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_3x_8x_v1,,131,,2.385422005180254,,-0.19602830365009383,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_4x_10x_v1,,131,,2.2978451407858276,,-0.23566617037015947,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G2_CONSENSUS_TWO_FACTORS,adaptive_5x_12x_v1,,131,,2.031008505452811,,-0.24645926501782123,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_10x,,219,,1.277350796018446,,-0.7860765640408842,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,fixed_20x,,219,,1.0328228889796032,,-0.992552107484332,,1,,3,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_3x_8x_v1,,219,,2.1505417516802647,,-0.29554530162187764,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,,219,,2.0806931854967097,,-0.2928421707245089,,0,,0,insufficient_h4_sample
cross_asset_holdout,DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1,,219,,2.272174279556304,,-0.31107142490673845,,0,,0,insufficient_h4_sample
cross_asset_holdout,AVAXUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x,,144,,1.558643650379485,,-0.6372586967399883,,0,,0,insufficient_h4_sample
cross_asset_holdout,AVAXUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_20x,,144,,1.1701879669402937,,-0.9163162789132907,,0,,0,insufficient_h4_sample
cross_asset_holdout,AVAXUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_3x_8x_v1,,144,,2.8740233938564588,,-0.20713679082804348,,0,,0,insufficient_h4_sample
cross_asset_holdout,AVAXUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1,,144,,2.713932807012136,,-0.21033522500613977,,0,,0,insufficient_h4_sample
cross_asset_holdout,AVAXUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_5x_12x_v1,,144,,2.5964784587772622,,-0.23783917645730035,,0,,0,insufficient_h4_sample
cross_asset_holdout,AVAXUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x,,82,,3.0114896798652397,,-0.6082521557112297,,0,,0,insufficient_h4_sample
cross_asset_holdout,AVAXUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_20x,,82,,2.080269208005721,,-0.8974741345630571,,0,,0,insufficient_h4_sample
