symbol,year,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,2025,low_vol,1.5_2.5,14,0.0048756899455089575,0.004826950276375919,0.6428571428571429,0.35714285714285715,-0.00794717783081335,0.009943906529002868,0.2409737587019458,0.0016734412699251809
BNBUSDT,2025,mid_vol,0.5_1.0,10,0.0005424759529285117,0.0005679140162878626,0.5,0.5,-0.005625550583266836,0.006843292142659973,0.5493756435377458,-0.004247894677954341
BNBUSDT,2025,mid_vol,0_0.5,8,0.01475835613553897,0.0076867886416356335,0.375,0.5,-0.00547953968956541,0.0209713684410347,0.33374132700407194,0.004954697710444478
BNBUSDT,2025,mid_vol,1.0_1.5,14,0.009233974083297498,0.0055861123011041736,0.5714285714285714,0.35714285714285715,-0.004518980349514812,0.019534977868950008,0.2529231254370298,0.002493875326730066
BNBUSDT,2025,mid_vol,1.5_2.5,9,0.002950081939891115,0.0007664597225416347,0.8888888888888888,0.1111111111111111,-0.0023794022851523827,0.006750197653669909,0.36959446061379336,-0.0002645605617482653
BNBUSDT,2026,high_vol,0.5_1.0,20,-0.000493433596216597,-0.0015985456416894306,0.25,0.55,-0.007940573625302316,0.00537620335099589,0.4286518129780477,-0.0035978753622938602
BNBUSDT,2026,high_vol,0_0.5,26,0.0007253382412960499,0.0010453309789456577,0.6153846153846154,0.34615384615384615,-0.005745226523613632,0.005917224179184533,0.3260783534124068,-0.0015426705692841002
BNBUSDT,2026,high_vol,1.0_1.5,18,0.004069530066387365,0.0005922078999848202,0.5,0.4444444444444444,-0.00648633241269055,0.011395060147864658,0.17151570635363916,0.0011490001358441877
BNBUSDT,2026,high_vol,1.5_2.5,28,0.0020588604212933214,0.0013169363400385992,0.4642857142857143,0.42857142857142855,-0.004487279881940432,0.006014353715897084,0.13645286979887858,0.0010118080845599486
BNBUSDT,2026,low_vol,0.5_1.0,1,0.00307578740157477,0.00307578740157477,1.0,0.0,-1.1184556364507436e-05,0.0033667010818332344,1.0,
BNBUSDT,2026,low_vol,1.0_1.5,2,-0.010903868409087192,-0.010903868409087192,1.0,0.0,-0.01468680516470583,0.004710882894803592,1.0,
BNBUSDT,2026,low_vol,1.5_2.5,10,0.0018395153190414182,0.00102653121157531,0.5,0.5,-0.0023477213850992885,0.0052622213368191725,0.3582053971277085,0.00013303652802535267
BNBUSDT,2026,mid_vol,0_0.5,9,0.004068391324866212,0.001298427279956993,0.6666666666666666,0.3333333333333333,-0.0010922455116645728,0.006008456483031166,0.7912064226021783,0.0005333041156415456
