symbol,month,p4_trade_count,p4_proxy_return,p4_negative_month,p4_weak_month,proxy_method
BNBUSDT,2022-09,14,-0.09844589112528412,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-10,11,0.07268779791365321,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-11,9,0.08491841183701176,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2022-12,5,-0.026615374617310228,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-01,15,0.16101627293869802,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-02,11,0.028035532588489565,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-03,11,-0.020682303174580974,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-04,12,0.07760711739959236,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-05,11,-0.027258564424760046,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-06,7,-0.08008503018243474,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-07,10,0.009172465974016442,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-08,11,-0.06257167465395341,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-09,11,-0.031641827737299844,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-10,12,0.005953810811080373,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-11,11,-0.016588379337928227,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2023-12,17,0.10060165204762062,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-01,13,-0.1445738389491753,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-02,14,0.15803528066891026,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-03,18,0.1443529516500055,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-04,14,-0.0037504448233824927,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-05,15,-0.04208183671305221,True,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-06,10,0.07201408649680419,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-07,18,0.003015935064750952,False,True,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-08,13,0.025053613685925735,False,False,realistic_p4_trade_return_1x_exit_month
BNBUSDT,2024-09,19,-0.040242529935230587,True,True,realistic_p4_trade_return_1x_exit_month
